file_path,handler,route_path,http_method,line,require_auth_explicit_roles,reads_or_writes_object_by_id,object_type,object_id_source,object_authorization_check_present,classification,recommended_follow_up,notes
arie-backend/server.py,ClientChangePasswordHandler,/api/auth/client/change-password,POST,4619,no,no,none,none,no,public/authn-safe,no fix,Self-service password change uses authenticated subject only.
arie-backend/server.py,MeHandler,/api/auth/me,GET,4658,no,no,none,none,no,public/authn-safe,no fix,Returns current token subject only.
arie-backend/server.py,ApplicationsHandler,/api/applications,POST,5093,no,yes,application,body/token,partial,client-owned object access,A1F-3 batch fix,Creates a new application. Client path binds to token subject; non-client path accepts client_id and should use explicit officer roles.
arie-backend/server.py,CaseManagementWorklistHandler,/api/case-management/worklist,GET,6668,no,yes,application; periodic review,query string,manual role check,officer-only but role should be explicit,convert to role-restricted,Manual officer role guard exists after bare auth; convert to require_auth roles/require_backoffice_auth.
arie-backend/server.py,ApplicationDetailHandler,/api/applications/([^/]+),GET,7061,no,yes,application,URL path,yes,safe existing check,no fix,Uses check_app_ownership after resolving application.
arie-backend/server.py,ApplicationDetailHandler,/api/applications/([^/]+),PUT,7352,no,yes,application; director; UBO,URL path/body,yes,safe existing check,no fix,Uses check_app_ownership before updates.
arie-backend/server.py,ApplicationDetailHandler,/api/applications/([^/]+),PATCH,7536,no,yes,application,URL path/body,yes,safe existing check,A1F-3 batch fix,Uses check_app_ownership; status/assignment role checks are manual and could be made explicit.
arie-backend/server.py,ApplicationDetailHandler,/api/applications/([^/]+),DELETE,7922,no,yes,application,URL path,yes,safe existing check,no fix,Uses check_app_ownership and client-only draft delete guard.
arie-backend/server.py,SubmitApplicationHandler,/api/applications/([^/]+)/submit,POST,9005,no,yes,application; director; UBO,URL path,yes,safe existing check,no fix,Uses check_app_ownership before submit.
arie-backend/server.py,PricingAcceptHandler,/api/applications/([^/]+)/accept-pricing,POST,9483,no,yes,application,URL path,yes,safe existing check,no fix,Uses check_app_ownership before pricing acceptance.
arie-backend/server.py,KYCSubmitHandler,/api/applications/([^/]+)/submit-kyc,POST,10037,no,yes,application; document,URL path,yes,safe existing check,no fix,Uses check_app_ownership and document gates.
arie-backend/server.py,PreApprovalDecisionHandler,/api/applications/([^/]+)/pre-approval-decision,POST,10230,no,yes,application,URL path,manual role check,officer-only but role should be explicit,convert to role-restricted,Manual admin/SCO role guard exists; no client ownership guard because endpoint is officer-only by intent.
arie-backend/server.py,DocumentUploadHandler,/api/applications/([^/]+)/documents,GET,10484,no,yes,application; document,URL path,yes,safe existing check,no fix,Uses check_app_ownership before listing documents.
arie-backend/server.py,DocumentUploadHandler,/api/applications/([^/]+)/documents,POST,10530,no,yes,application; document; director; UBO,URL path/body/form,yes,safe existing check,no fix,Uses check_app_ownership before upload; validates RMI/person slot in application.
arie-backend/server.py,DocumentDeleteHandler,/api/applications/([^/]+)/documents/([^/]+),DELETE,10979,no,yes,application; document,URL path,yes,safe existing check,no fix,Uses check_app_ownership and document must belong to resolved application.
arie-backend/server.py,DocumentVerifyHandler,/api/documents/([^/]+)/verify,POST,11237,no,yes,document; application,URL path,no,high-risk object-by-id,A1F-1 confirmed fix,Confirmed gap: resolves document/application and can mutate verification state without client ownership check.
arie-backend/server.py,DocumentVerificationStatusHandler,/api/documents/([^/]+)/verification-status,GET,11783,no,yes,document; application,URL path,yes,safe existing check,no fix,Resolves document to application then calls check_app_ownership.
arie-backend/server.py,DocumentAIVerifyHandler,/api/documents/ai-verify,POST,12289,no,yes,document; application; director; UBO,request body,no,high-risk object-by-id,A1F-1 confirmed fix,Confirmed gap: reads document/application/directors/UBOs/prescreening context from caller-supplied ids.
arie-backend/server.py,DocumentDownloadHandler,/api/documents/([^/]+)/download,GET,12500,no,yes,document; application,URL path,yes,safe existing check,no fix,Known safe pattern: denies clients when app.client_id differs from token sub.
arie-backend/server.py,VersionHandler,/api/version,GET,14034,no,no,none,none,no,public/authn-safe,no fix,Auth-gated build metadata only; no object ids or DB reads.
arie-backend/server.py,RolesPermissionsHandler,/api/config/roles-permissions,GET,15197,no,no,user/admin config,none,no,officer-only but role should be explicit,convert to role-restricted,RBAC reference matrix is not object-by-id but should be back-office role restricted.
arie-backend/server.py,ApplicationExportPackHandler,/api/applications/([^/]+)/export-pack,POST,17736,no,yes,application; document; audit,URL path,manual role check,officer-only but role should be explicit,convert to role-restricted,Manual admin/SCO guard exists after bare auth; no client access.
arie-backend/server.py,DashboardHandler,/api/dashboard,GET,18207,no,yes,application; periodic review; dashboard stats,query string,partial,public/authn-safe,A1F-3 batch fix,Dashboard stats are scoped by current user/fixture filters; consider explicit back-office route if not portal-facing.
arie-backend/server.py,ActiveDraftsHandler,/api/save-resume/active,GET,18542,no,yes,application; draft session,token subject,yes,safe existing check,no fix,Client-only and joins on client_sessions.client_id plus applications.client_id.
arie-backend/server.py,SanctionsCheckHandler,/api/screening/sanctions,POST,23037,no,yes,screening item,request body,no,officer-only but role should be explicit,convert to role-restricted,Ad-hoc provider screening has no object id but should not be generally client callable.
arie-backend/server.py,CompanyLookupHandler,/api/screening/company,POST,23059,no,yes,registry/company lookup,request body,no,officer-only but role should be explicit,convert to role-restricted,Ad-hoc registry lookup has no object id but should be role-scoped if back-office only.
arie-backend/server.py,CompanyIntakeSearchHandler,/api/company-intake/search,GET,24015,no,yes,registry/company lookup,query string,not applicable,public/authn-safe,no fix,Client intake lookup; no existing RegMind object id.
arie-backend/server.py,CompanyIntakeProfileHandler,/api/company-intake/company/([^/]+),GET,24032,no,yes,registry/company lookup,URL path,not applicable,public/authn-safe,no fix,Client intake lookup; no existing RegMind object id.
arie-backend/server.py,CompanyIntakeOfficersHandler,/api/company-intake/company/([^/]+)/officers,GET,24048,no,yes,registry/company lookup,URL path,not applicable,public/authn-safe,no fix,Client intake lookup; no existing RegMind object id.
arie-backend/server.py,CompanyIntakePSCsHandler,/api/company-intake/company/([^/]+)/pscs,GET,24064,no,yes,registry/company lookup,URL path,not applicable,public/authn-safe,no fix,Client intake lookup; no existing RegMind object id.
arie-backend/server.py,CompanyIntakeStartHandler,/api/company-intake/start,POST,24078,no,yes,application; company intake session,request body,yes,safe existing check,no fix,Requires client and creates/reuses draft for token subject.
arie-backend/server.py,CompanyIntakeConfirmProfileHandler,/api/company-intake/confirm-profile,POST,24328,no,yes,company intake session; application,request body,yes,safe existing check,no fix,Uses _company_intake_get_owned_session for token subject.
arie-backend/server.py,CompanyIntakeConfirmOfficersHandler,/api/company-intake/confirm-officers,POST,24395,no,yes,company intake session; application; director,request body,yes,safe existing check,no fix,Uses _company_intake_get_owned_session for token subject.
arie-backend/server.py,CompanyIntakeConfirmPSCsHandler,/api/company-intake/confirm-pscs,POST,24479,no,yes,company intake session; application; UBO,request body,yes,safe existing check,no fix,Uses _company_intake_get_owned_session for token subject.
arie-backend/server.py,CompanyIntakeSessionHandler,/api/company-intake/session/([^/]+),GET,24589,no,yes,company intake session; application,URL path,yes,safe existing check,no fix,Uses _company_intake_get_owned_session for token subject.
arie-backend/server.py,IPCheckHandler,/api/screening/ip,GET,24608,no,no,none,query string,no,public/authn-safe,no fix,No RegMind object id; geolocation helper only.
arie-backend/server.py,SumsubApplicantHandler,/api/kyc/applicant,POST,24690,no,yes,application; Sumsub applicant,request body,no,high-risk object-by-id,A1F-1 confirmed fix,Confirmed gap: writes applicant mapping and application prescreening for caller-supplied application_id.
arie-backend/server.py,SumsubAccessTokenHandler,/api/kyc/token,POST,24858,no,yes,Sumsub applicant,request body,no,high-risk object-by-id,A1F-1 confirmed fix,Confirmed gap: generates token for caller-supplied external_user_id without mapping ownership check.
arie-backend/server.py,SumsubStatusHandler,/api/kyc/status/([^/]+),GET,24877,no,yes,Sumsub applicant; application,URL path,partial,needs manual review,A1F-3 batch fix,Client path checks applications.client_id and prescreening_data LIKE applicant_id; replace with mapping-table ownership check.
arie-backend/server.py,SumsubDocumentHandler,/api/kyc/document,POST,24903,no,yes,Sumsub applicant; document,request body,no,high-risk object-by-id,A1F-1 confirmed fix,Confirmed gap: uploads document for caller-supplied applicant_id without mapping ownership check.
arie-backend/server.py,GetClientNotificationsHandler,/api/notifications,GET,29590,no,yes,notification; RMI request,token subject,yes,safe existing check,no fix,Client-only and filters notifications/RMI by token subject.
arie-backend/server.py,MarkNotificationReadHandler,/api/notifications/([^/]+)/read,PATCH,29621,no,yes,notification,URL path,yes,safe existing check,no fix,Checks notification.client_id against token sub.
arie-backend/server.py,ApplicationRMIRequestsHandler,/api/applications/([^/]+)/rmi,GET,29645,no,yes,application; RMI request,URL path,yes,safe existing check,no fix,Uses check_app_ownership before returning RMI requests.
arie-backend/server.py,AIAssistantHandler,/api/ai/assistant,POST,34485,no,no,none,request body,no,public/authn-safe,no fix,No RegMind object id; simulated compliance assistant response.
arie-backend/server.py,PortalApplicationsHandler,/api/portal/applications,GET,35298,no,yes,application; periodic review,token subject,yes,safe existing check,no fix,Lists only applications where client_id equals token sub.
arie-backend/server.py,PortalApplicationPeriodicReviewAttestationHandler,/api/portal/applications/([^/]+)/periodic-review,GET,35398,no,yes,application; periodic review,URL path,yes,safe existing check,no fix,Client-only; helper checks application ownership.
arie-backend/server.py,PortalApplicationPeriodicReviewAttestationDraftHandler,/api/portal/applications/([^/]+)/periodic-review/save-draft,POST,35418,no,yes,application; periodic review,URL path/body,yes,safe existing check,no fix,Client-only; helper checks application ownership and review state.
arie-backend/server.py,PortalApplicationPeriodicReviewAttestationSubmitHandler,/api/portal/applications/([^/]+)/periodic-review/submit,POST,35513,no,yes,application; periodic review,URL path/body,yes,safe existing check,no fix,Client-only; helper checks application ownership and review state.
arie-backend/server.py,PortalApplicationEnhancedRequirementsHandler,/api/portal/applications/([^/]+)/enhanced-requirements,GET,35630,no,yes,application; enhanced requirement,URL path,yes,safe existing check,no fix,Client-only and uses check_app_ownership.
arie-backend/server.py,PortalApplicationEnhancedRequirementUploadHandler,/api/portal/applications/([^/]+)/enhanced-requirements/([^/]+)/upload,POST,35692,no,yes,application; enhanced requirement; document,URL path/body,yes,safe existing check,no fix,Client-only; uses check_app_ownership and requirement lookup scoped to app.
arie-backend/server.py,PortalApplicationEnhancedRequirementResponseHandler,/api/portal/applications/([^/]+)/enhanced-requirements/([^/]+)/response,POST,36037,no,yes,application; enhanced requirement,URL path/body,yes,safe existing check,no fix,Client-only; uses check_app_ownership and requirement lookup scoped to app.
arie-backend/server.py,PortalChangeRequestHandler,/api/portal/change-requests,GET,36141,no,yes,application; change request,token subject,yes,safe existing check,no fix,Lists change requests only across applications owned by token subject.
arie-backend/server.py,PortalChangeRequestHandler,/api/portal/change-requests,POST,36171,no,yes,application; change request,request body,yes,safe existing check,no fix,Explicitly checks application.client_id equals token subject before creating request.
